date,return
2020-11-15,0.00000000
2020-11-16,-0.00600000
2020-11-17,-0.01518219
2020-11-18,-0.00469729
2020-11-19,0.00474183
2020-11-20,-0.00417537
2020-11-21,0.01157895
2020-11-22,-0.00462963
2020-11-23,-0.00778816
2020-11-24,-0.04272152
2020-11-25,-0.01268743
2020-11-26,0.02130178
2020-11-27,-0.00283768
2020-11-28,-0.00799087
2020-11-29,0.00522042
2020-11-30,-0.01836969
2020-12-01,0.01489869
2020-12-02,0.00115741
2020-12-03,-0.00057737
2020-12-04,0.00982659
2020-12-05,-0.00283447
2020-12-06,-0.00399088
2020-12-07,0.00517241
2020-12-08,0.00796359
2020-12-09,-0.00895857
2020-12-10,-0.00171038
2020-12-11,0.00858124
2020-12-12,-0.00056243
2020-12-13,0.00225225
2020-12-14,0.00056054
2020-12-15,-0.00167973
2020-12-16,0.01179775
2020-12-17,0.00054885
2020-12-18,0.00548246
2020-12-19,0.00488069
2020-12-20,0.01342642
2020-12-21,-0.00313808
2020-12-22,0.01631579
2020-12-23,0.01783894
2020-12-24,0.01033465
2020-12-25,0.00916104
2020-12-26,0.03456439
2020-12-27,-0.00487157
2020-12-28,-0.00626118
2020-12-29,0.00226449
2020-12-30,-0.01487827
2020-12-31,0.00882900
2021-01-01,0.00228311
2021-01-02,-0.00636364
2021-01-03,0.00414365
2021-01-04,-0.01324201
2021-01-05,-0.00187617
2021-01-06,-0.00659134
2021-01-07,-0.01097328
2021-01-08,0.00487805
2021-01-09,0.04541063
2021-01-10,0.00885740
2021-01-11,0.01305483
2021-01-12,0.03350297
2021-01-13,-0.00198728
2021-01-14,-0.00798085
2021-01-15,0.02270884
2021-01-16,0.02521334
2021-01-17,0.01033973
2021-01-18,-0.01121563
2021-01-19,-0.00814212
2021-01-20,0.01354402
2021-01-21,0.02490842
2021-01-22,-0.01325890
2021-01-23,0.00430108
2021-01-24,0.03198294
2021-01-25,-0.01169005
2021-01-26,0.01470588
2021-01-27,0.01794020
2021-01-28,-0.12700449
2021-01-29,0.00128977
2021-01-30,0.03087479
2021-01-31,-0.01090468
2021-02-01,-0.00247729
2021-02-02,0.01203320
2021-02-03,0.01499190
2021-02-04,0.02793076
2021-02-05,0.00000000
2021-02-06,0.00260805
2021-02-07,0.00630096
2021-02-08,0.01098097
2021-02-09,0.00429799
2021-02-10,0.02627841
2021-02-11,-0.03137652
2021-02-12,-0.01187905
2021-02-13,-0.05014749
2021-02-14,-0.00163934
2021-02-15,-0.00740132
2021-02-16,0.00667780
2021-02-17,-0.00988468
2021-02-18,-0.00168067
2021-02-19,-0.00548061
2021-02-20,-0.04219949
2021-02-21,-0.00093110
2021-02-22,0.01585821
2021-02-23,-0.01130199
2021-02-24,0.01017576
2021-02-25,-0.01405258
2021-02-26,-0.01072761
2021-02-27,-0.00571973
2021-02-28,-0.00096432
2021-03-01,0.00483092
2021-03-02,0.01004785
2021-03-03,0.00046904
2021-03-04,0.00796626
2021-03-05,0.00738007
2021-03-06,0.00318182
2021-03-07,0.00180668
2021-03-08,0.01395140
2021-03-09,-0.01050788
2021-03-10,0.01386404
2021-03-11,0.01000870
2021-03-12,0.00725256
2021-03-13,0.00462574
2021-03-14,0.00166667
2021-03-15,-0.02159468
2021-03-16,-0.00390625
2021-03-17,0.02580927
2021-03-18,-0.00291181
2021-03-19,0.00083682
2021-03-20,0.00501253
2021-03-21,0.00661704
2021-03-22,0.01061224
2021-03-23,0.02158273
2021-03-24,-0.00421456
2021-03-25,0.00811437
2021-03-26,-0.00076046
2021-03-27,-0.00723534
2021-03-28,0.00425039
2021-03-29,0.00153257
2021-03-30,-0.00267380
2021-03-31,0.03149002
2021-04-01,0.00144509
2021-04-02,0.01368876
2021-04-03,-0.01086957
2021-04-04,0.02508961
2021-04-05,0.04641638
2021-04-06,0.00000000
2021-04-07,-0.02123673
2021-04-08,0.01598174
2021-04-09,0.00948167
2021-04-10,0.00961538
2021-04-11,-0.00060864
2021-04-12,-0.01218769
2021-04-13,0.00624610
2021-04-14,-0.02159161
2021-04-15,0.00741457
2021-04-16,0.04034307
2021-04-17,0.00176367
2021-04-18,0.02314001
2021-04-19,-0.02015677
2021-04-20,0.01137690
2021-04-21,-0.00884199
2021-04-22,-0.02439024
2021-04-23,0.00091575
2021-04-24,-0.00578915
2021-04-25,-0.00092478
2021-04-26,0.00648548
2021-04-27,0.00670732
2021-04-28,0.00391095
2021-04-29,-0.00626866
2021-04-30,-0.01118501
2021-05-01,0.02040816
2021-05-02,0.00326797
2021-05-03,0.01387249
2021-05-04,0.00201034
2021-05-05,0.02745995
2021-05-06,0.01193059
2021-05-07,-0.00476695
2021-05-08,0.00935829
2021-05-09,0.00157480
2021-05-10,0.01439037
2021-05-11,0.00915565
2021-05-12,-0.00549451
2021-05-13,0.02070707
2021-05-14,0.01309408
2021-05-15,-0.00874291
2021-05-16,-0.00360750
2021-05-17,-0.00605620
2021-05-18,0.00294262
2021-05-19,-0.00438810
2021-05-20,-0.01180521
2021-05-21,0.00629723
2021-05-22,-0.00273632
2021-05-23,0.00175088
2021-05-24,-0.01121635
2021-05-25,-0.00688424
2021-05-26,-0.00025853
2021-05-27,-0.01060528
2021-05-28,0.00872093
2021-05-29,-0.00259740
2021-05-30,-0.00104439
2021-05-31,0.00156986
2021-06-01,-0.00808555
2021-06-02,-0.00662778
2021-06-03,-0.01504567
2021-06-04,-0.01135734
2021-06-05,-0.00566893
2021-06-06,0.00315367
2021-06-07,-0.00085470
2021-06-08,0.00399543
2021-06-09,0.02180068
2021-06-10,0.00054259
2021-06-11,-0.01192412
2021-06-12,0.00388673
2021-06-13,0.01046832
2021-06-14,0.00647598
2021-06-15,-0.00026638
2021-06-16,-0.00373134
2021-06-17,0.00214823
2021-06-18,-0.00267380
2021-06-19,0.00080645
2021-06-20,-0.00295223
2021-06-21,0.00755940
2021-06-22,0.00531915
2021-06-23,-0.00763158
2021-06-24,0.01068947
2021-06-25,0.00235479
2021-06-26,0.00338542
2021-06-27,-0.01008795
2021-06-28,-0.00765576
2021-06-29,-0.00026810
2021-06-30,-0.00080472
2021-07-01,0.00617947
2021-07-02,-0.00690021
2021-07-03,-0.00457481
2021-07-04,-0.01276480
2021-07-05,-0.00473802
2021-07-06,-0.01575689
2021-07-07,-0.01278327
2021-07-08,0.00357782
2021-07-09,0.00473653
2021-07-10,0.00909091
2021-07-11,-0.00288018
2021-07-12,-0.00376593
2021-07-13,-0.00671337
2021-07-14,0.00710059
2021-07-15,-0.00612602
2021-07-16,0.00443001
2021-07-17,-0.00878220
2021-07-18,0.00029797
2021-07-19,-0.00327576
2021-07-20,0.00029976
2021-07-21,-0.00479329
2021-07-22,0.01270417
2021-07-23,0.00000000
2021-07-24,-0.00943953
2021-07-25,0.00150331
2021-07-26,0.00809353
2021-07-27,-0.00147493
2021-07-28,0.00710059
2021-07-29,0.00466744
2021-07-30,0.01358382
2021-07-31,-0.00619021
2021-08-01,-0.01082621
2021-08-02,-0.00320326
2021-08-03,-0.00234467
2021-08-04,0.00471143
2021-08-05,-0.00495916
2021-08-06,0.00707130
2021-08-07,0.00639163
2021-08-08,0.00229489
2021-08-09,0.01484866
2021-08-10,-0.00526900
2021-08-11,-0.00308296
2021-08-12,-0.00141004
2021-08-13,0.01498869
2021-08-14,-0.00933553
2021-08-15,-0.01259093
2021-08-16,0.00200918
2021-08-17,0.01801029
2021-08-18,0.02373068
2021-08-19,0.00026344
2021-08-20,0.01579779
2021-08-21,0.00000000
2021-08-22,0.00255232
2021-08-23,0.00634840
2021-08-24,0.01178536
2021-08-25,0.00440960
2021-08-26,0.00437105
2021-08-27,0.01901781
2021-08-28,0.00602968
